Time,Port,Metric,Value
2026-05-12 21:37:23.000,1,rx_nombuf,0
2026-05-12 21:37:23.000,1,imissed,0
2026-05-12 21:37:23.000,1,ibytes,0
2026-05-12 21:37:23.000,1,oerrors,0
2026-05-12 21:37:23.000,1,obytes,0
2026-05-12 21:37:23.000,1,opackets,0
2026-05-12 21:37:23.000,1,ierrors,0
2026-05-12 21:37:23.000,1,ipackets,0
2026-05-12 21:37:23.000,0,rx_nombuf,0
2026-05-12 21:37:23.000,0,imissed,0
2026-05-12 21:37:23.000,0,ibytes,0
2026-05-12 21:37:23.000,0,oerrors,0
2026-05-12 21:37:23.000,0,obytes,0
2026-05-12 21:37:23.000,0,opackets,0
2026-05-12 21:37:23.000,0,ierrors,0
2026-05-12 21:37:23.000,0,ipackets,0
2026-05-12 21:37:23.000,n,Value,2
2026-05-12 21:37:24.000,1,rx_nombuf,0
2026-05-12 21:37:24.000,1,imissed,0
2026-05-12 21:37:24.000,1,ibytes,0
2026-05-12 21:37:24.000,1,oerrors,0
2026-05-12 21:37:24.000,1,obytes,0
2026-05-12 21:37:24.000,1,opackets,0
2026-05-12 21:37:24.000,1,ierrors,0
2026-05-12 21:37:24.000,1,ipackets,0
2026-05-12 21:37:24.000,0,rx_nombuf,0
2026-05-12 21:37:24.000,0,imissed,0
2026-05-12 21:37:24.000,0,ibytes,0
2026-05-12 21:37:24.000,0,oerrors,0
2026-05-12 21:37:24.000,0,obytes,0
2026-05-12 21:37:24.000,0,opackets,0
2026-05-12 21:37:24.000,0,ierrors,0
2026-05-12 21:37:24.000,0,ipackets,0
2026-05-12 21:37:24.000,n,Value,2
2026-05-12 21:37:25.000,1,rx_nombuf,0
2026-05-12 21:37:25.000,1,imissed,0
2026-05-12 21:37:25.000,1,ibytes,332
2026-05-12 21:37:25.000,1,oerrors,0
2026-05-12 21:37:25.000,1,obytes,0
2026-05-12 21:37:25.000,1,opackets,0
2026-05-12 21:37:25.000,1,ierrors,0
2026-05-12 21:37:25.000,1,ipackets,2
2026-05-12 21:37:25.000,0,rx_nombuf,0
2026-05-12 21:37:25.000,0,imissed,0
2026-05-12 21:37:25.000,0,ibytes,0
2026-05-12 21:37:25.000,0,oerrors,0
2026-05-12 21:37:25.000,0,obytes,0
2026-05-12 21:37:25.000,0,opackets,0
2026-05-12 21:37:25.000,0,ierrors,0
2026-05-12 21:37:25.000,0,ipackets,0
2026-05-12 21:37:25.000,n,Value,2
2026-05-12 21:37:26.000,1,rx_nombuf,0
2026-05-12 21:37:26.000,1,imissed,0
