Time,Port,Metric,Value
2026-05-05 17:31:16.000,1,opackets,0
2026-05-05 17:31:16.000,1,oerrors,0
2026-05-05 17:31:16.000,1,imissed,0
2026-05-05 17:31:16.000,1,rx_nombuf,0
2026-05-05 17:31:16.000,1,ierrors,0
2026-05-05 17:31:16.000,1,ibytes,538
2026-05-05 17:31:16.000,1,ipackets,2
2026-05-05 17:31:16.000,1,obytes,0
2026-05-05 17:31:16.000,0,opackets,0
2026-05-05 17:31:16.000,0,oerrors,0
2026-05-05 17:31:16.000,0,imissed,0
2026-05-05 17:31:16.000,0,rx_nombuf,0
2026-05-05 17:31:16.000,0,ierrors,0
2026-05-05 17:31:16.000,0,ibytes,0
2026-05-05 17:31:16.000,0,ipackets,0
2026-05-05 17:31:16.000,0,obytes,0
2026-05-05 17:31:17.000,1,opackets,0
2026-05-05 17:31:17.000,1,oerrors,0
2026-05-05 17:31:17.000,1,imissed,0
2026-05-05 17:31:17.000,1,rx_nombuf,0
2026-05-05 17:31:17.000,1,ierrors,0
2026-05-05 17:31:17.000,1,ibytes,538
2026-05-05 17:31:17.000,1,ipackets,2
2026-05-05 17:31:17.000,1,obytes,0
2026-05-05 17:31:17.000,0,opackets,0
2026-05-05 17:31:17.000,0,oerrors,0
2026-05-05 17:31:17.000,0,imissed,0
2026-05-05 17:31:17.000,0,rx_nombuf,0
2026-05-05 17:31:17.000,0,ierrors,0
2026-05-05 17:31:17.000,0,ibytes,0
2026-05-05 17:31:17.000,0,ipackets,0
2026-05-05 17:31:17.000,0,obytes,0
2026-05-05 17:31:18.000,1,opackets,0
2026-05-05 17:31:18.000,1,oerrors,0
2026-05-05 17:31:18.000,1,imissed,0
2026-05-05 17:31:18.000,1,rx_nombuf,0
2026-05-05 17:31:18.000,1,ierrors,0
2026-05-05 17:31:18.000,1,ibytes,538
2026-05-05 17:31:18.000,1,ipackets,2
2026-05-05 17:31:18.000,1,obytes,0
2026-05-05 17:31:18.000,0,opackets,0
2026-05-05 17:31:18.000,0,oerrors,0
2026-05-05 17:31:18.000,0,imissed,0
2026-05-05 17:31:18.000,0,rx_nombuf,0
2026-05-05 17:31:18.000,0,ierrors,0
2026-05-05 17:31:18.000,0,ibytes,0
